episode,avg_reward,static_rewards
264,-349.2188679245283,140.0
265,-347.4172932330827,130.0
266,-347.7752808988764,-443.0
267,-348.0485074626866,-421.0
268,-348.3940520446097,-441.0
269,-348.8259259259259,-465.0
270,-349.45756457564573,-520.0
271,-347.65808823529414,140.0
272,-347.76556776556777,-377.0
273,-347.93065693430657,-393.0
274,-345.86545454545455,220.0
275,-346.1195652173913,-416.0
276,-346.4945848375451,-450.0
277,-346.7589928057554,-420.0
278,-346.79928315412184,-358.0
279,-346.25357142857143,-194.0
280,-346.70462633451956,-473.0
281,-346.8191489361702,-379.0
282,-347.1554770318021,-442.0
283,-347.3133802816901,-392.0
284,-347.6771929824561,-451.0
285,-347.7867132867133,-379.0
286,-345.2160278745645,390.0
287,-345.21180555555554,-344.0
288,-345.50865051903116,-431.0
289,-345.451724137931,-329.0
290,-345.7766323024055,-440.0
291,-346.222602739726,-476.0
292,-346.55631399317406,-444.0
293,-346.812925170068,-422.0
294,-346.96949152542373,-393.0
295,-346.9831081081081,-351.0
296,-347.4040404040404,-472.0
297,-346.2046979865772,10.0
298,-346.60869565217394,-467.0
299,-346.79,-401.0
300,-347.1262458471761,-448.0
301,-347.37417218543044,-422.0
302,-347.6996699669967,-446.0
303,-347.9111842105263,-412.0
304,-348.1344262295082,-416.0
305,-348.55882352941177,-478.0
306,-348.9511400651466,-469.0
307,-349.2077922077922,-428.0
308,-349.3656957928803,-398.0
309,-349.6548387096774,-439.0
310,-350.0353697749196,-468.0
311,-350.2275641025641,-410.0
312,-350.4632587859425,-424.0
313,-350.4171974522293,-336.0
314,-350.85079365079366,-487.0
315,-351.1392405063291,-442.0
316,-351.5236593059937,-473.0
317,-351.5345911949685,-355.0
318,-351.86833855799375,-458.0
319,-352.203125,-459.0
320,-352.398753894081,-415.0
321,-352.8354037267081,-493.0
322,-352.953560371517,-391.0
323,-353.07716049382714,-393.0
324,-353.1753846153846,-385.0
325,-351.7546012269939,110.0
326,-350.28134556574923,130.0
327,-350.25,-340.0
328,-348.63829787234044,180.0
329,-348.45454545454544,-288.0
330,-348.89123867069486,-493.0
331,-349.144578313253,-433.0
332,-349.4474474474475,-450.0
333,-349.6796407185629,-427.0
334,-350.0805970149254,-484.0
335,-348.6517857142857,130.0
336,-348.9050445103858,-434.0
337,-347.4881656804734,130.0
338,-347.71386430678467,-424.0
339,-346.27941176470586,140.0
340,-346.5542521994135,-440.0
341,-346.91812865497076,-471.0
342,-346.9795918367347,-368.0
343,-346.49418604651163,-180.0
344,-346.39130434782606,-311.0
345,-346.6271676300578,-428.0
346,-345.02305475504323,210.0
347,-345.367816091954,-465.0
348,-345.70773638968484,-464.0
349,-346.0314285714286,-459.0
350,-346.2079772079772,-408.0
351,-344.25852272727275,340.0
352,-344.5184135977337,-436.0
353,-344.7768361581921,-436.0
354,-343.3830985915493,150.0
355,-343.7022471910112,-457.0
356,-342.4033613445378,120.0
357,-342.75418994413405,-468.0
358,-342.84958217270196,-377.0
359,-341.7583333333333,50.0
360,-341.90304709141276,-394.0
361,-341.8922651933702,-338.0
362,-340.3443526170799,220.0
363,-340.52197802197804,-405.0
364,-339.3150684931507,100.0
365,-339.43715846994536,-384.0
366,-338.82288828337875,-114.0
367,-337.7119565217391,70.0
368,-337.83468834688347,-383.0
369,-336.4351351351351,180.0
370,-336.4959568733154,-359.0
371,-336.7204301075269,-420.0
372,-336.79624664879356,-365.0
373,-337.0748663101604,-441.0
374,-337.464,-483.0
375,-335.7686170212766,300.0
376,-335.62334217506634,-281.0
377,-335.67724867724866,-356.0
378,-334.55408970976254,90.0
379,-334.8,-428.0
380,-335.06561679790025,-436.0
381,-335.1256544502618,-358.0
