episode,reward,avg_reward
208,-507.0,-421.38277511961724
209,-416.0,-421.35714285714283
210,-482.0,-421.6445497630332
211,-454.0,-421.79716981132077
212,-469.0,-422.018779342723
213,-454.0,-422.1682242990654
214,-461.0,-422.3488372093023
215,-452.0,-422.4861111111111
216,-532.0,-422.99078341013825
217,-492.0,-423.3073394495413
218,-471.0,-423.5251141552511
219,30.0,-421.46363636363634
220,-476.0,-421.710407239819
221,-482.0,-421.98198198198196
222,-513.0,-422.390134529148
223,-452.0,-422.52232142857144
224,-456.0,-422.6711111111111
225,-504.0,-423.03097345132744
226,-160.0,-421.87224669603523
227,-425.0,-421.8859649122807
228,-412.0,-421.8427947598253
229,-508.0,-422.2173913043478
230,-379.0,-422.030303030303
231,-389.0,-421.88793103448273
232,-439.0,-421.9613733905579
233,-455.0,-422.1025641025641
234,-478.0,-422.3404255319149
235,-481.0,-422.58898305084745
236,-362.0,-422.3333333333333
237,110.0,-420.0966386554622
238,-485.0,-420.3682008368201
239,-435.0,-420.4291666666667
240,-453.0,-420.5643153526971
241,-429.0,-420.599173553719
242,-505.0,-420.94650205761315
243,-430.0,-420.9836065573771
244,-378.0,-420.8081632653061
245,-487.0,-421.0772357723577
246,-436.0,-421.13765182186233
247,-452.0,-421.26209677419354
248,-438.0,-421.3293172690763
249,-477.0,-421.552
250,-435.0,-421.60557768924303
251,-485.0,-421.85714285714283
252,-498.0,-422.15810276679844
253,-430.0,-422.18897637795277
254,-533.0,-422.6235294117647
255,-469.0,-422.8046875
256,-479.0,-423.02334630350197
257,-390.0,-422.8953488372093
258,-469.0,-423.0733590733591
259,-500.0,-423.3692307692308
260,-481.0,-423.59003831417624
261,-473.0,-423.77862595419845
262,-449.0,-423.8745247148289
263,-446.0,-423.9583333333333
264,-405.0,-423.8867924528302
265,0.0,-422.29323308270676
266,-497.0,-422.5730337078652
267,-471.0,-422.75373134328356
268,-434.0,-422.79553903345726
269,150.0,-420.6740740740741
270,150.0,-418.56826568265683
271,-506.0,-418.8897058823529
272,-448.0,-418.996336996337
273,-492.0,-419.26277372262774
274,-490.0,-419.52
275,-499.0,-419.80797101449275
276,-424.0,-419.8231046931408
277,-434.0,-419.87410071942446
278,-322.0,-419.52329749103944
279,-518.0,-419.875
280,-443.0,-419.9572953736655
281,-462.0,-420.1063829787234
282,-430.0,-420.14134275618375
283,-512.0,-420.46478873239437
284,-401.0,-420.3964912280702
285,-421.0,-420.3986013986014
286,-540.0,-420.81533101045295
287,-434.0,-420.8611111111111
288,-491.0,-421.1038062283737
289,-479.0,-421.3034482758621
290,-494.0,-421.553264604811
291,-559.0,-422.0239726027397
292,-470.0,-422.1877133105802
293,-551.0,-422.6258503401361
294,-452.0,-422.72542372881355
295,-455.0,-422.8344594594595
296,60.0,-421.2087542087542
297,-398.0,-421.1308724832215
298,-408.0,-421.0869565217391
299,-494.0,-421.33
300,-441.0,-421.3953488372093
301,-546.0,-421.8079470198675
302,-355.0,-421.5874587458746
303,-306.0,-421.20723684210526
304,-468.0,-421.3606557377049
305,-469.0,-421.51633986928107
306,-502.0,-421.7785016286645
307,-437.0,-421.8279220779221
308,-390.0,-421.72491909385116
309,-512.0,-422.01612903225805
310,60.0,-420.4662379421222
311,-572.0,-420.9519230769231
312,-430.0,-420.98083067092654
313,-412.0,-420.95222929936307
314,-516.0,-421.25396825396825
315,-482.0,-421.44620253164555
316,-570.0,-421.9148264984227
317,-540.0,-422.2861635220126
318,-464.0,-422.4169278996865
319,-434.0,-422.453125
320,-451.0,-422.5420560747664
321,-465.0,-422.67391304347825
322,-454.0,-422.77089783281735
323,-485.0,-422.962962962963
324,-395.0,-422.87692307692305
325,60.0,-421.3957055214724
326,-541.0,-421.76146788990826
327,10.0,-420.4451219512195
328,-492.0,-420.66261398176295
329,-483.0,-420.8515151515152
330,-474.0,-421.012084592145
331,-453.0,-421.10843373493975
332,-496.0,-421.3333333333333
333,-554.0,-421.7305389221557
334,-453.0,-421.8238805970149
335,-478.0,-421.99107142857144
336,-397.0,-421.91691394658756
337,-437.0,-421.96153846153845
338,-384.0,-421.8495575221239
339,-495.0,-422.06470588235294
340,-479.0,-422.2316715542522
341,-472.0,-422.37719298245617
342,-437.0,-422.4198250728863
343,-391.0,-422.32848837209303
344,-323.0,-422.0405797101449
345,-364.0,-421.8728323699422
346,-514.0,-422.13832853025934
347,-376.0,-422.0057471264368
348,-548.0,-422.36676217765046
349,-394.0,-422.2857142857143
350,-426.0,-422.2962962962963
351,0.0,-421.09659090909093
