episode,avg_reward,static_rewards
477,-458.7092050209205,-519.0
478,-458.65762004175366,-434.0
479,-458.7729166666667,-514.0
480,-458.7796257796258,-462.0
481,-458.67634854771785,-409.0
482,-458.7391304347826,-489.0
483,-458.68801652892563,-434.0
484,-458.7134020618557,-471.0
485,-458.80864197530866,-505.0
486,-458.5995893223819,-357.0
487,-458.62909836065575,-473.0
488,-458.4192229038855,-356.0
489,-458.3387755102041,-419.0
490,-458.3299389002037,-454.0
491,-458.2947154471545,-441.0
492,-458.4036511156187,-512.0
493,-458.3218623481781,-418.0
494,-458.389898989899,-492.0
495,-458.4959677419355,-511.0
496,-458.4507042253521,-436.0
497,-458.6124497991968,-539.0
498,-458.7034068136273,-504.0
499,-458.716,-465.0
500,-458.6806387225549,-441.0
501,-458.6394422310757,-438.0
502,-458.77534791252486,-527.0
503,-458.7638888888889,-453.0
504,-458.6772277227723,-415.0
505,-458.7312252964427,-486.0
506,-458.6232741617357,-404.0
507,-458.5748031496063,-434.0
508,-458.7170923379175,-531.0
509,-458.77450980392155,-488.0
510,-458.71037181996087,-426.0
511,-458.732421875,-470.0
512,-458.6666666666667,-425.0
513,-458.6225680933852,-436.0
514,-458.6077669902913,-451.0
515,-458.72093023255815,-517.0
516,-458.84912959381046,-525.0
517,-458.80694980694983,-437.0
518,-458.79576107899805,-453.0
519,-458.71923076923076,-419.0
520,-458.83685220729365,-520.0
521,-458.8888888888889,-486.0
522,-458.83556405353727,-431.0
523,-458.8645038167939,-474.0
524,-458.76,-404.0
525,-458.71102661596956,-433.0
526,-458.7912713472486,-501.0
527,-458.8238636363636,-476.0
528,-458.9130434782609,-506.0
529,-458.8679245283019,-435.0
530,-458.85310734463275,-451.0
531,-458.7838345864662,-422.0
532,-458.73358348968105,-432.0
533,-458.65168539325845,-415.0
534,-458.46355140186915,-358.0
535,-458.5690298507463,-515.0
536,-458.1824953445065,-251.0
537,-458.13382899628255,-432.0
538,-457.9628942486085,-366.0
539,-458.14629629629627,-557.0
540,-458.1645101663586,-468.0
541,-458.14944649446494,-450.0
542,-458.22836095764274,-501.0
543,-458.26286764705884,-477.0
544,-458.3192660550459,-489.0
545,-458.24542124542126,-418.0
546,-458.3327239488117,-506.0
547,-458.2755474452555,-427.0
548,-458.1985428051002,-416.0
549,-458.13272727272727,-422.0
550,-458.2068965517241,-499.0
551,-458.1630434782609,-434.0
552,-458.2025316455696,-480.0
553,-458.2870036101083,-505.0
554,-458.3045045045045,-468.0
555,-458.2913669064748,-451.0
556,-458.3770197486535,-506.0
557,-458.2867383512545,-408.0
558,-458.3542039355993,-496.0
559,-458.33214285714286,-446.0
560,-458.2263814616756,-399.0
561,-458.1797153024911,-432.0
562,-458.1918294849023,-465.0
563,-458.3741134751773,-561.0
564,-458.41238938053095,-480.0
565,-458.42049469964667,-463.0
566,-458.3492063492063,-418.0
567,-457.86091549295776,-181.0
568,-457.9420035149385,-504.0
569,-457.96666666666664,-472.0
570,-458.00875656742556,-482.0
571,-457.92832167832165,-412.0
572,-457.8150087260035,-393.0
573,-457.89895470383277,-506.0
574,-457.92869565217393,-475.0
575,-458.00347222222223,-501.0
576,-457.682842287695,-273.0
577,-457.7664359861592,-506.0
578,-457.580310880829,-350.0
579,-457.63275862068963,-488.0
580,-457.49397590361446,-377.0
581,-457.4828178694158,-451.0
582,-457.3704974271012,-392.0
583,-457.3664383561644,-455.0
584,-457.3299145299145,-436.0
585,-457.2730375426621,-424.0
586,-457.10732538330495,-360.0
587,-457.0425170068027,-419.0
588,-457.12224108658745,-504.0
589,-456.99152542372883,-380.0
590,-457.1742808798646,-565.0
591,-457.26013513513516,-508.0
592,-457.1956155143339,-419.0
593,-457.2929292929293,-515.0
594,-457.1294117647059,-360.0
595,-456.93959731543623,-344.0
596,-456.89782244556113,-432.0
597,-456.94147157190633,-483.0
598,-456.9515859766277,-463.0
599,-457.04333333333335,-512.0
600,-457.12645590682195,-507.0
601,-457.14285714285717,-467.0
602,-457.0961857379768,-429.0
603,-457.0082781456954,-404.0
604,-456.8413223140496,-356.0
605,-456.8085808580858,-437.0
606,-456.8566721581549,-486.0
607,-456.8453947368421,-450.0
608,-456.9047619047619,-493.0
609,-456.9573770491803,-489.0
610,-456.9541734860884,-455.0
611,-456.9950980392157,-482.0
612,-456.6035889070147,-217.0
613,-456.571661237785,-437.0
614,-456.4829268292683,-402.0
615,-456.62175324675326,-542.0
616,-456.6547811993517,-477.0
617,-456.57928802589,-410.0
