======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:57:21
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 114
Win Rate: 11.40%
Evaluation Runtime: 462.75 seconds (7.71 minutes)
Model: dqn_nrs_2k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1298.36
Std Dev Score: 3350.45
Min Score: -671.00
Max Score: 11328.00
Median Score: 153.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1823.26 moves
Min Length: 88 moves
Max Length: 2998 moves
Median Length: 1710 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
475    No     368.00     1026      
476    No     168.00     335       
477    No     -20.00     239       
478    No     183.00     801       
479    No     420.00     1229      
480    No     -66.00     257       
481    No     496.00     851       
482    No     407.00     547       
483    No     210.00     2998      
484    No     -190.00    2998      
485    No     -493.00    2827      
486    Yes    11106.00   1390      
487    No     193.00     859       
488    No     240.00     2998      
489    Yes    10857.00   1537      
490    No     104.00     2866      
491    Yes    10807.00   1087      
492    No     338.00     1506      
493    No     382.00     1284      
494    No     334.00     1216      
495    No     512.00     1252      
496    Yes    10847.00   967       
497    No     390.00     1290      
498    No     130.00     2998      
499    No     -226.00    2267      
500    No     238.00     935       
501    No     116.00     401       
502    No     -278.00    533       
503    No     150.00     2998      
504    No     300.00     2998      
505    No     468.00     966       
506    No     277.00     1358      
507    No     357.00     517       
508    No     -386.00    106       
509    No     360.00     2998      
510    No     284.00     797       
511    No     330.00     2998      
512    No     298.00     605       
513    No     328.00     1415      
514    Yes    10562.00   2422      
515    No     549.00     1232      
516    No     -234.00    2890      
517    No     -122.00    1025      
518    No     30.00      2998      
519    Yes    10284.00   2056      
520    No     -259.00    567       
521    No     484.00     1427      
522    No     -60.00     2998      
523    No     140.00     2998      
524    Yes    10604.00   1696      
525    No     -10.00     2310      
526    Yes    10419.00   1651      
527    No     162.00     862       
528    No     -38.00     1493      
529    No     -120.00    2998      
530    No     130.00     2998      
531    No     251.00     1047      
532    No     164.00     1006      
533    No     578.00     546       
534    No     234.00     2148      
535    No     360.00     2998      
536    No     180.00     2039      
537    No     -80.00     2998      
538    No     218.00     1475      
539    No     -90.00     2998      
540    No     70.00      570       
541    No     360.00     2998      
542    No     132.00     1552      
543    No     -140.00    2998      
544    No     -190.00    2010      
545    Yes    11328.00   1324      
546    No     -90.00     2998      
547    No     323.00     590       
548    No     -141.00    1351      
549    No     -180.00    2998      
550    No     -146.00    288       
551    No     30.00      2998      
552    No     140.00     2998      
553    No     200.00     868       
554    No     150.00     2998      
555    No     -106.00    497       
556    No     140.00     2998      
557    No     160.00     2998      
558    No     368.00     1204      
559    Yes    10883.00   2059      
560    Yes    10183.00   2959      
561    No     469.00     1173      
562    No     -50.00     2998      
563    No     216.00     760       
564    No     -162.00    2464      
565    No     -8.00      1404      
566    No     90.00      2998      
567    No     150.00     2998      
568    No     458.00     784       
569    No     120.00     2998      
570    Yes    10705.00   1993      
571    No     -376.00    376       
572    No     560.00     2998      
573    No     295.00     1275      
574    Yes    10551.00   1855      
575    No     332.00     1343      
576    No     140.00     480       
577    No     288.00     1205      
578    No     -94.00     192       
579    No     152.00     2723      
580    No     160.00     2998      
581    No     -120.00    2998      
582    No     -70.00     2998      
583    Yes    10352.00   2452      
584    No     -486.00    2986      
585    Yes    11206.00   1090      
586    Yes    10401.00   2305      
587    No     -492.00    2824      
588    Yes    10759.00   1231      
589    No     286.00     701       
590    No     -386.00    2058      
591    No     -50.00     2998      
592    No     -306.00    2837      
593    Yes    10627.00   2227      
594    No     183.00     470       
595    No     424.00     1098      
596    No     150.00     2998      
597    No     150.00     2998      
598    Yes    10599.00   2311      
599    No     350.00     2998      
600    Yes    10741.00   1285      
601    No     -392.00    2524      
602    No     -124.00    700       
603    No     -40.00     2998      
604    Yes    10560.00   1228      
605    No     155.00     1184      
606    No     -40.00     2998      
607    No     170.00     810       
608    Yes    10900.00   1408      
609    No     20.00      1829      
610    No     194.00     1278      
611    No     4.00       526       
612    No     -116.00    257       
613    No     -50.00     2998      
614    No     316.00     401       
615    No     235.00     1244      
616    No     150.00     2998      
617    No     54.00      198       
618    No     -60.00     2998      
619    No     200.00     1380      
