episode,avg_reward,static_rewards
392,-467.2773536895674,-477.0
393,-467.25888324873097,-460.0
394,-467.253164556962,-465.0
395,-467.24242424242425,-463.0
396,-467.05037783375315,-391.0
397,-467.0502512562814,-467.0
398,-466.7468671679198,-346.0
399,-466.6225,-417.0
400,-466.3615960099751,-362.0
401,-466.3905472636816,-478.0
402,-466.41439205955334,-476.0
403,-466.15346534653463,-361.0
404,-465.99506172839506,-402.0
405,-466.0024630541872,-469.0
406,-466.031941031941,-478.0
407,-466.25735294117646,-558.0
408,-466.3398533007335,-500.0
409,-466.3341463414634,-464.0
410,-466.61800486618006,-583.0
411,-466.59466019417476,-457.0
412,-466.4164648910412,-393.0
413,-466.8961352657005,-665.0
414,-466.8771084337349,-459.0
415,-466.85336538461536,-457.0
416,-466.82254196642685,-454.0
417,-466.811004784689,-462.0
418,-466.6324582338902,-392.0
419,-466.9428571428571,-597.0
420,-467.0190023752969,-499.0
421,-466.90521327014216,-419.0
422,-466.8486997635934,-443.0
423,-467.1132075471698,-579.0
424,-467.1129411764706,-467.0
425,-467.09154929577466,-458.0
426,-467.10538641686185,-473.0
427,-467.00233644859816,-423.0
428,-466.9254079254079,-434.0
429,-466.8790697674419,-447.0
430,-466.7679814385151,-419.0
431,-466.80324074074076,-482.0
432,-466.5935334872979,-376.0
433,-466.4746543778802,-415.0
434,-466.416091954023,-441.0
435,-466.35550458715596,-440.0
436,-466.31121281464533,-447.0
437,-466.30593607305934,-464.0
438,-466.255125284738,-444.0
439,-465.8931818181818,-307.0
440,-465.74149659863946,-399.0
441,-465.5972850678733,-402.0
442,-465.61399548532734,-473.0
443,-465.6666666666667,-489.0
444,-465.68988764044946,-476.0
445,-465.6479820627803,-447.0
446,-465.4653243847875,-384.0
447,-465.1919642857143,-343.0
448,-464.98218262806233,-371.0
449,-465.0888888888889,-513.0
450,-465.0509977827051,-448.0
451,-464.82300884955754,-362.0
452,-464.8498896247241,-477.0
453,-464.99118942731275,-529.0
454,-464.9758241758242,-458.0
455,-464.94736842105266,-452.0
456,-464.9015317286652,-444.0
457,-464.7816593886463,-410.0
458,-464.8082788671024,-477.0
459,-464.85869565217394,-488.0
460,-464.8459869848156,-459.0
461,-464.8333333333333,-459.0
462,-464.92656587473004,-508.0
463,-464.7586206896552,-387.0
464,-464.7913978494624,-480.0
465,-464.82403433476395,-480.0
466,-464.9357601713062,-517.0
467,-464.90384615384613,-450.0
